deployment_id,service_name,version,deployment_time,change_type,changed_components
DEP-1013,auth-service,release-4094,2026-07-23 02:00:00,CONFIG_UPDATE,"{""env.updated"": ""true""}"
DEP-1040,payment-service,release-4464,2026-07-23 03:00:00,CODE_DEPLOY,"{""image"": ""payment-service:release-4464""}"
DEP-1004,gateway-service,release-4025,2026-07-24 02:00:00,CONFIG_UPDATE,"{""env.updated"": ""true""}"
DEP-1022,order-service,release-4718,2026-07-24 04:00:00,CODE_DEPLOY,"{""image"": ""order-service:release-4718""}"
DEP-1031,inventory-service,release-4438,2026-07-24 06:00:00,CONFIG_UPDATE,"{""env.updated"": ""true""}"
DEP-1005,gateway-service,release-4142,2026-07-25 03:00:00,CODE_DEPLOY,"{""image"": ""gateway-service:release-4142""}"
DEP-1014,auth-service,release-4352,2026-07-25 04:00:00,CONFIG_UPDATE,"{""env.updated"": ""true""}"
DEP-1032,inventory-service,release-4141,2026-07-26 03:00:00,CONFIG_UPDATE,"{""env.updated"": ""true""}"
DEP-1023,order-service,release-4546,2026-07-27 03:00:00,CODE_DEPLOY,"{""image"": ""order-service:release-4546""}"
DEP-1041,payment-service,release-4512,2026-07-27 04:00:00,CODE_DEPLOY,"{""image"": ""payment-service:release-4512""}"
DEP-1033,inventory-service,release-4112,2026-07-28 02:00:00,CODE_DEPLOY,"{""image"": ""inventory-service:release-4112""}"
DEP-1015,auth-service,release-4549,2026-07-28 05:00:00,CODE_DEPLOY,"{""image"": ""auth-service:release-4549""}"
DEP-1024,order-service,release-4388,2026-07-28 05:00:00,CONFIG_UPDATE,"{""env.updated"": ""true""}"
DEP-1042,payment-service,release-4640,2026-07-30 02:00:00,CONFIG_UPDATE,"{""env.updated"": ""true""}"
DEP-1006,gateway-service,release-4089,2026-07-30 06:00:00,CONFIG_UPDATE,"{""env.updated"": ""true""}"
DEP-1007,gateway-service,release-4095,2026-07-31 02:00:00,CODE_DEPLOY,"{""image"": ""gateway-service:release-4095""}"
DEP-1016,auth-service,release-4565,2026-08-01 02:00:00,CONFIG_UPDATE,"{""env.updated"": ""true""}"
DEP-1034,inventory-service,release-4696,2026-08-02 03:00:00,CONFIG_UPDATE,"{""env.updated"": ""true""}"
DEP-1025,order-service,release-4224,2026-08-02 06:00:00,CONFIG_UPDATE,"{""env.updated"": ""true""}"
DEP-1043,payment-service,release-4623,2026-08-02 06:00:00,CODE_DEPLOY,"{""image"": ""payment-service:release-4623""}"
DEP-1026,order-service,release-4032,2026-08-03 03:00:00,CONFIG_UPDATE,"{""env.updated"": ""true""}"
DEP-1044,payment-service,release-4780,2026-08-03 04:00:00,CODE_DEPLOY,"{""image"": ""payment-service:release-4780""}"
DEP-1008,gateway-service,release-4616,2026-08-03 06:00:00,CODE_DEPLOY,"{""image"": ""gateway-service:release-4616""}"
DEP-1002,inventory-service,release-4710,2026-08-03 10:00:00,CODE_DEPLOY,"{""image"": ""inventory-service:v1.2.1-buggy""}"
DEP-1003,inventory-service,release-4711,2026-08-03 10:45:00,ROLLBACK,"{""image"": ""inventory-service:v1.2.0""}"
DEP-1035,inventory-service,release-4394,2026-08-05 02:00:00,CONFIG_UPDATE,"{""env.updated"": ""true""}"
DEP-1017,auth-service,release-4370,2026-08-05 06:00:00,CODE_DEPLOY,"{""image"": ""auth-service:release-4370""}"
DEP-1027,order-service,release-4067,2026-08-07 04:00:00,CODE_DEPLOY,"{""image"": ""order-service:release-4067""}"
DEP-1018,auth-service,release-4046,2026-08-08 02:00:00,CODE_DEPLOY,"{""image"": ""auth-service:release-4046""}"
DEP-1009,gateway-service,release-4733,2026-08-08 03:00:00,CONFIG_UPDATE,"{""env.updated"": ""true""}"
DEP-1036,inventory-service,release-4541,2026-08-08 05:00:00,CONFIG_UPDATE,"{""env.updated"": ""true""}"
DEP-1045,payment-service,release-4000,2026-08-08 06:00:00,CONFIG_UPDATE,"{""env.updated"": ""true""}"
DEP-1010,gateway-service,release-4603,2026-08-09 05:00:00,CONFIG_UPDATE,"{""env.updated"": ""true""}"
DEP-1019,auth-service,release-4238,2026-08-10 02:00:00,CODE_DEPLOY,"{""image"": ""auth-service:release-4238""}"
DEP-1046,payment-service,release-4114,2026-08-10 02:00:00,CONFIG_UPDATE,"{""env.updated"": ""true""}"
DEP-1037,inventory-service,release-4696,2026-08-11 02:00:00,CODE_DEPLOY,"{""image"": ""inventory-service:release-4696""}"
DEP-1028,order-service,release-4217,2026-08-11 04:00:00,CONFIG_UPDATE,"{""env.updated"": ""true""}"
DEP-1011,gateway-service,release-4714,2026-08-12 03:00:00,CONFIG_UPDATE,"{""env.updated"": ""true""}"
DEP-1047,payment-service,release-4059,2026-08-13 03:00:00,CODE_DEPLOY,"{""image"": ""payment-service:release-4059""}"
DEP-1020,auth-service,release-4464,2026-08-13 04:00:00,CONFIG_UPDATE,"{""env.updated"": ""true""}"
DEP-1029,order-service,release-4146,2026-08-13 05:00:00,CONFIG_UPDATE,"{""env.updated"": ""true""}"
DEP-1038,inventory-service,release-4768,2026-08-14 06:00:00,CONFIG_UPDATE,"{""env.updated"": ""true""}"
DEP-1030,order-service,release-4762,2026-08-15 03:00:00,CONFIG_UPDATE,"{""env.updated"": ""true""}"
DEP-1021,auth-service,release-4363,2026-08-15 04:00:00,CODE_DEPLOY,"{""image"": ""auth-service:release-4363""}"
DEP-1012,gateway-service,release-4159,2026-08-16 04:00:00,CODE_DEPLOY,"{""image"": ""gateway-service:release-4159""}"
DEP-1048,payment-service,release-4087,2026-08-17 02:00:00,CONFIG_UPDATE,"{""env.updated"": ""true""}"
DEP-1039,inventory-service,release-4114,2026-08-17 04:00:00,CONFIG_UPDATE,"{""env.updated"": ""true""}"
DEP-1000,order-service,release-4821,2026-08-17 08:00:00,CONFIG_UPDATE,"{""db.pool.max_active"": 5, ""db.pool.timeout_ms"": 5000}"
DEP-1001,order-service,release-4822,2026-08-17 20:00:00,ROLLBACK,"{""db.pool.max_active"": 50, ""db.pool.timeout_ms"": 5000}"
